ticker,date,price
AAPL,2023-10-02,170.47
AAPL,2023-10-03,164.73
AAPL,2023-10-04,167.86
AAPL,2023-10-05,165.67
AAPL,2023-10-06,165.69
AAPL,2023-10-09,164.75
AAPL,2023-10-10,163.08
AAPL,2023-10-11,163.51
AAPL,2023-10-12,164.84
AAPL,2023-10-13,166.15
AAPL,2023-10-16,165.35
AAPL,2023-10-17,164.2
AAPL,2023-10-18,165.59
AAPL,2023-10-19,165.74
AAPL,2023-10-20,169.08
AAPL,2023-10-23,174.57
AAPL,2023-10-24,172.24
AAPL,2023-10-25,172.49
AAPL,2023-10-26,176.91
AAPL,2023-10-27,175.44
AAPL,2023-10-30,179.05
AAPL,2023-10-31,176.83
AAPL,2023-11-01,175.66
AAPL,2023-11-02,173.31
AAPL,2023-11-03,172.72
AAPL,2023-11-06,174.16
AAPL,2023-11-07,175.55
AAPL,2023-11-08,174.94
AAPL,2023-11-09,174.98
AAPL,2023-11-10,176.49
AAPL,2023-11-13,175.0
AAPL,2023-11-14,175.51
AAPL,2023-11-15,178.13
AAPL,2023-11-16,178.43
AAPL,2023-11-17,173.86
AAPL,2023-11-20,175.42
AAPL,2023-11-21,177.04
AAPL,2023-11-22,175.73
AAPL,2023-11-23,175.95
AAPL,2023-11-24,177.86
AAPL,2023-11-27,179.81
AAPL,2023-11-28,183.37
AAPL,2023-11-29,183.22
AAPL,2023-11-30,186.91
AAPL,2023-12-01,183.63
AAPL,2023-12-04,181.37
AAPL,2023-12-05,180.0
AAPL,2023-12-06,181.91
AAPL,2023-12-07,183.49
AAPL,2023-12-08,184.83
AAPL,2023-12-11,185.78
AAPL,2023-12-12,184.96
AAPL,2023-12-13,184.64
AAPL,2023-12-14,187.02
AAPL,2023-12-15,189.17
AAPL,2023-12-18,192.03
AAPL,2023-12-19,191.53
AAPL,2023-12-20,191.94
AAPL,2023-12-21,188.89
AAPL,2023-12-22,193.07
AAPL,2023-12-25,193.55
AAPL,2023-12-26,190.24
AAPL,2023-12-27,191.18
AAPL,2023-12-28,189.09
AAPL,2023-12-29,188.43
AAPL,2024-01-01,189.59
AAPL,2024-01-02,193.84
AAPL,2024-01-03,194.45
AAPL,2024-01-04,194.28
